From :   1  To : 200 Step =   1 Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
    122 :         inf MFlops   0.000000 sec
    123 :         inf MFlops   0.000000 sec
    124 :         inf MFlops   0.000000 sec
    125 :      750.00 MFlops   0.000001 sec
    126 :         inf MFlops   0.000000 sec
    127 :         inf MFlops   0.000000 sec
    128 :      768.00 MFlops   0.000001 sec
    129 :         inf MFlops   0.000000 sec
    130 :         inf MFlops   0.000000 sec
    131 :         inf MFlops   0.000000 sec
    132 :      792.00 MFlops   0.000001 sec
    133 :         inf MFlops   0.000000 sec
    134 :         inf MFlops   0.000000 sec
    135 :         inf MFlops   0.000000 sec
    136 :         inf MFlops   0.000000 sec
    137 :         inf MFlops   0.000000 sec
    138 :      828.00 MFlops   0.000001 sec
    139 :      834.00 MFlops   0.000001 sec
    140 :      840.00 MFlops   0.000001 sec
    141 :         inf MFlops   0.000000 sec
    142 :         inf MFlops   0.000000 sec
    143 :         inf MFlops   0.000000 sec
    144 :         inf MFlops   0.000000 sec
    145 :         inf MFlops   0.000000 sec
    146 :         inf MFlops   0.000000 sec
    147 :         inf MFlops   0.000000 sec
    148 :         inf MFlops   0.000000 sec
    149 :         inf MFlops   0.000000 sec
    150 :         inf MFlops   0.000000 sec
    151 :      906.00 MFlops   0.000001 sec
    152 :         inf MFlops   0.000000 sec
    153 :         inf MFlops   0.000000 sec
    154 :         inf MFlops   0.000000 sec
    155 :         inf MFlops   0.000000 sec
    156 :         inf MFlops   0.000000 sec
    157 :         inf MFlops   0.000000 sec
    158 :         inf MFlops   0.000000 sec
    159 :         inf MFlops   0.000000 sec
    160 :         inf MFlops   0.000000 sec
    161 :         inf MFlops   0.000000 sec
    162 :      972.00 MFlops   0.000001 sec
    163 :         inf MFlops   0.000000 sec
    164 :         inf MFlops   0.000000 sec
    165 :         inf MFlops   0.000000 sec
    166 :         inf MFlops   0.000000 sec
    167 :         inf MFlops   0.000000 sec
    168 :         inf MFlops   0.000000 sec
    169 :         inf MFlops   0.000000 sec
    170 :         inf MFlops   0.000000 sec
    171 :         inf MFlops   0.000000 sec
    172 :         inf MFlops   0.000000 sec
    173 :         inf MFlops   0.000000 sec
    174 :         inf MFlops   0.000000 sec
    175 :         inf MFlops   0.000000 sec
    176 :         inf MFlops   0.000000 sec
    177 :     1062.00 MFlops   0.000001 sec
    178 :     1068.00 MFlops   0.000001 sec
    179 :         inf MFlops   0.000000 sec
    180 :         inf MFlops   0.000000 sec
    181 :         inf MFlops   0.000000 sec
    182 :         inf MFlops   0.000000 sec
    183 :         inf MFlops   0.000000 sec
    184 :         inf MFlops   0.000000 sec
    185 :         inf MFlops   0.000000 sec
    186 :         inf MFlops   0.000000 sec
    187 :         inf MFlops   0.000000 sec
    188 :         inf MFlops   0.000000 sec
    189 :         inf MFlops   0.000000 sec
    190 :     1140.00 MFlops   0.000001 sec
    191 :         inf MFlops   0.000000 sec
    192 :         inf MFlops   0.000000 sec
    193 :         inf MFlops   0.000000 sec
    194 :         inf MFlops   0.000000 sec
    195 :         inf MFlops   0.000000 sec
    196 :         inf MFlops   0.000000 sec
    197 :         inf MFlops   0.000000 sec
    198 :         inf MFlops   0.000000 sec
    199 :         inf MFlops   0.000000 sec
    200 :         inf MFlops   0.000000 sec
